DATA_GROUP_L1,DATA_GROUP_L2,DATA_GROUP_L3,DATA_GROUP_L4,DATA_GROUP_L5,DATA_GROUP_L6,VALUE
Cán cân vãng lai,,,,,,7510
Cán cân vãng lai,Hàng hóa: Xu?t kh?u f.o.b,,,,,105882
Cán cân vãng lai,Hàng hóa: Nh?p kh?u f.o.b,,,,,97030
Cán cân vãng lai,Hàng hóa (ròng),,,,,8852
Cán cân vãng lai,D?ch v?: Xu?t kh?u,,,,,6561
Cán cân vãng lai,D?ch v?: Nh?p kh?u,,,,,9558
Cán cân vãng lai,D?ch v? (ròng),,,,,-2997
Cán cân vãng lai,Thu nh?p ??u t? (Thu nh?p s? c?p): Thu,,,,,1380
Cán cân vãng lai,Thu nh?p ??u t? (Thu nh?p s? c?p): Chi,,,,,3805
Cán cân vãng lai,Thu nh?p ??u t? (thu nh?p s? c?p) (ròng),,,,,-2425
Cán cân vãng lai,Chuy?n giao vãng lai (Thu nh?p th? c?p): Thu,,,,,5078
Cán cân vãng lai,Chuy?n giao vãng lai (Thu nh?p th? c?p): Chi,,,,,998
Cán cân vãng lai,Chuy?n giao vãng lai (thu nh?p th? c?p) (ròng),,,,,4080
Cán cân v?n,Cán cân v?n: Thu,,,,,0
Cán cân v?n,Cán cân v?n: Chi,,,,,0
Cán cân v?n,T?ng cán cân vãng lai và cán cân v?n,,,,,0
Cán cân tài chính,,,,,,267
Cán cân tài chính,??u t? tr?c ti?p ra n??c ngoài: Tài s?n có,,,,,-230
Cán cân tài chính,??u t? tr?c ti?p (ròng),,,,,6400
