DATA_GROUP_L1,DATA_GROUP_L2,DATA_GROUP_L3,DATA_GROUP_L4,DATA_GROUP_L5,DATA_GROUP_L6,VALUE
Cán cân vãng lai,,,,,,7510
Cán cân vãng lai,Hàng hóa: Xuất khẩu f.o.b,,,,,105882
Cán cân vãng lai,Hàng hóa: Nhập khẩu f.o.b,,,,,97030
Cán cân vãng lai,Hàng hóa (ròng),,,,,8852
Cán cân vãng lai,Dịch vụ: Xuất khẩu,,,,,6561
Cán cân vãng lai,Dịch vụ: Nhập khẩu,,,,,9558
Cán cân vãng lai,Dịch vụ (ròng),,,,,-2997
Cán cân vãng lai,Thu nhập đầu tư (Thu nhập sơ cấp): Thu,,,,,1380
Cán cân vãng lai,Thu nhập đầu tư (Thu nhập sơ cấp): Chi,,,,,3805
Cán cân vãng lai,Thu nhập đầu tư (thu nhập sơ cấp) (ròng),,,,,-2425
Cán cân vãng lai,Chuyển giao vãng lai (Thu nhập thứ cấp): Thu,,,,,5078
Cán cân vãng lai,Chuyển giao vãng lai (Thu nhập thứ cấp): Chi,,,,,998
Cán cân vãng lai,Chuyển giao vãng lai (thu nhập thứ cấp) (ròng),,,,,4080
Cán cân vốn,,,,,,0
Cán cân vốn,Cán cân vốn: Thu,,,,,0
Cán cân vốn,Cán cân vốn: Chi,,,,,0
Cán cân tài chính,,,,,,267
Cán cân tài chính,Đầu tư trực tiếp ra nước ngoài: Tài sản có,,,,,-230
Cán cân tài chính,Đầu tư trực tiếp vào Việt Nam: Tài sản nợ,,,,,6400
Cán cân tài chính,Đầu tư trực tiếp vào Việt Nam: Tài sản nợ,Đầu tư trực tiếp (ròng),,,,6170
Cán cân tài chính,Đầu tư gián tiếp ra nước ngoài: Tài sản có,,,,,7
Cán cân tài chính,Đầu tư gián tiếp vào Việt Nam: Tài sản nợ,,,,,-2049
Cán cân tài chính,Đầu tư gián tiếp vào Việt Nam: Tài sản nợ,Đầu tư gián tiếp (ròng),,,,-2042
Cán cân tài chính,Đầu tư khác: Tài sản có,,,,,-4252
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,,,,-3801
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,Tổ chức tín dụng,,,-782
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,Dân cư,,,-3019
Cán cân tài chính,Đầu tư khác: Tài sản có,Các khoản phải thu/ phải trả khác,,,,-451
Cán cân tài chính,Đầu tư khác: Tài sản nợ,,,,,391
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,,,,1047
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,Tổ chức tín dụng,,,1096
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,Dân cư,,,-49
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",,,,-656
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,,,630
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,Rút vốn,,6607
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,Trả nợ gốc,,-5977
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,,,-1286
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,,3589
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,Chính phủ,195
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,Tư nhân,3394
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,,-4875
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,Chính phủ,-622
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,Tư nhân,-4253
Cán cân tài chính,Đầu tư khác (ròng),,,,,-3861
Cán cân tài chính,D. Lỗi và Sai sót,,,,,-9448
Cán cân tài chính,E. Cán cân tổng thể,,,,,-1671
Cán cân tài chính,F. Dự trữ và các hạng mục liên quan,,,,,1671
Cán cân tài chính,Tài sản dự trữ,,,,,1671
Cán cân tài chính,Tín dụng và vay nợ từ IMF,,,,,0
Cán cân tài chính,Tài trợ đặc biệt,,,,,0
