DATA_GROUP_L1,DATA_GROUP_L2,DATA_GROUP_L3,DATA_GROUP_L4,DATA_GROUP_L5,DATA_GROUP_L6,VALUE
Cán cân vãng lai,,,,,,3959
Cán cân vãng lai,Hàng hóa: Xuất khẩu f.o.b,,,,,102836
Cán cân vãng lai,Hàng hóa: Nhập khẩu f.o.b,,,,,94897
Cán cân vãng lai,Hàng hóa (ròng),,,,,7939
Cán cân vãng lai,Dịch vụ: Xuất khẩu,,,,,7583
Cán cân vãng lai,Dịch vụ: Nhập khẩu,,,,,9219
Cán cân vãng lai,Dịch vụ (ròng),,,,,-1636
Cán cân vãng lai,Thu nhập đầu tư (Thu nhập sơ cấp): Thu,,,,,1294
Cán cân vãng lai,Thu nhập đầu tư (Thu nhập sơ cấp): Chi,,,,,7192
Cán cân vãng lai,Thu nhập đầu tư (thu nhập sơ cấp) (ròng),,,,,-5898
Cán cân vãng lai,Chuyển giao vãng lai (Thu nhập thứ cấp): Thu,,,,,4608
Cán cân vãng lai,Chuyển giao vãng lai (Thu nhập thứ cấp): Chi,,,,,1054
Cán cân vãng lai,Chuyển giao vãng lai (thu nhập thứ cấp) (ròng),,,,,3554
Cán cân vốn,,,,,,0
Cán cân vốn,Cán cân vốn: Thu,,,,,0
Cán cân vốn,Cán cân vốn: Chi,,,,,0
Cán cân vốn,Tổng cán cân vãng lai và cán cân vốn,,,,,3959
Cán cân tài chính,,,,,,-3514
Cán cân tài chính,Đầu tư trực tiếp ra nước ngoài: Tài sản có,,,,,-327
Cán cân tài chính,Đầu tư trực tiếp vào Việt Nam: Tài sản nợ,,,,,3950
Cán cân tài chính,Đầu tư trực tiếp vào Việt Nam: Tài sản nợ,Đầu tư trực tiếp (ròng),,,,3623
Cán cân tài chính,Đầu tư gián tiếp ra nước ngoài: Tài sản có,,,,,74
Cán cân tài chính,Đầu tư gián tiếp vào Việt Nam: Tài sản nợ,,,,,-992
Cán cân tài chính,Đầu tư gián tiếp vào Việt Nam: Tài sản nợ,Đầu tư gián tiếp (ròng),,,,-918
Cán cân tài chính,Đầu tư khác: Tài sản có,,,,,-3503
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,,,,-3503
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,Tổ chức tín dụng,,,-951
Cán cân tài chính,Đầu tư khác: Tài sản có,Tiền và tiền gửi,Dân cư,,,-2552
Cán cân tài chính,Đầu tư khác: Tài sản có,Các khoản phải thu/ phải trả khác,,,,0
Cán cân tài chính,Đầu tư khác: Tài sản nợ,,,,,-2716
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,,,,-1198
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,Tổ chức tín dụng,,,-1198
Cán cân tài chính,Đầu tư khác: Tài sản nợ,Tiền và tiền gửi,Dân cư,,,0
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",,,,-1518
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,,,298
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,Rút vốn,,5567
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Ngắn hạn,Trả nợ gốc,,-5269
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,,,-1816
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,,1750
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,Chính phủ,159
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Rút vốn,Tư nhân,1591
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,,-3566
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,Chính phủ,-574
Cán cân tài chính,Đầu tư khác: Tài sản nợ,"Vay, trả nợ nước ngoài",Dài hạn,Trả nợ gốc,Tư nhân,-2992
Cán cân tài chính,Đầu tư khác (ròng),,,,,-6219
Cán cân tài chính,D. Lỗi và Sai sót,,,,,-2126
Cán cân tài chính,E. Cán cân tổng thể,,,,,-1681
Cán cân tài chính,F. Dự trữ và các hạng mục liên quan,,,,,1681
Cán cân tài chính,Tài sản dự trữ,,,,,1681
Cán cân tài chính,Tín dụng và vay nợ từ IMF,,,,,0
Cán cân tài chính,Tài trợ đặc biệt,,,,,0
